"X","years","sport","sex","ss01","ss02","ss03","ss04","ss05","ss06","ss07","ss08","ss09","ss10","ss11","ss12","ppfi_j00","ppfi_j01","ppfi_j02","ppfi_j03","ppfi_j04","ppfi_j05","ppfi_j06","ppfi_j07","ppfi_j08","ppfi_j09","ppfi_j10","ppfi_j11","ppfi_j12","ppfi_j13","ppfi_j14","ppfi_j15","panas01","panas02","panas03","panas04","panas05","panas06","panas07","panas08","panas09","panas10","panas11","panas12","panas13","panas14","panas15","panas16","panas17","panas18","panas19","panas20"
"334","7","柔道","男性",0,0,0,0,0,0,0,0,0,0,0,0,"がんざる",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"336","8年","相撲","男性",1,3,0,1,2,2,1,3,0,1,0,0,"東日本で8位",2,2,2,2,2,4,4,4,4,4,4,4,4,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3
"337","15年","相撲","男性",1,2,3,2,3,2,4,3,1,1,3,3,"Aリーグに入ること",4,4,1,1,1,5,6,2,4,5,3,2,5,2,4,3,3,1,3,2,0,4,5,2,3,1,4,3,2,1,0,3,1,1,4
"338","13年","柔道","男性",1,0,0,1,0,2,1,2,0,1,1,1,"公式戦のレギュラーとして試合に出ること",1,1,5,5,5,3,1,3,3,5,5,5,3,5,5,4,3,4,1,3,4,1,3,1,3,4,3,1,3,4,1,3,3,1,3
"339","3","レスリング","男性",0,1,2,0,0,2,1,3,2,1,1,0,"選手権優勝",2,5,3,5,4,1,3,4,1,2,0,6,5,0,1,4,3,2,2,2,3,1,2,2,3,3,3,1,1,4,3,3,1,1,3
"340","17","レスリング","男性",4,3,4,4,3,3,3,3,3,3,3,4,"日本一",2,1,1,1,2,1,5,5,4,5,5,5,4,1,5,2,1,0,3,1,4,5,3,5,2,2,2,3,3,1,1,4,0,1,2
"341","15","レスリング","男性",2,2,3,3,3,4,3,3,1,2,1,2,"インカレ優勝",0,0,0,0,0,6,4,3,4,4,4,4,2,4,3,3,5,3,3,3,3,4,4,4,5,5,5,3,5,0,1,4,0,0,1
"342","14年","レスリング","男性",2,1,1,3,2,3,1,2,1,1,2,4,"私が考えるスポーツの重要な目標は、人間的成長だと思います",2,0,0,4,4,0,6,3,5,1,4,6,5,1,6,3,3,4,1,1,1,3,2,4,5,5,5,5,3,4,5,4,2,2,3
"343","17","レスリング","男性",3,2,3,3,3,3,3,3,1,2,3,3,"世界王者になること",3,3,3,4,5,2,4,2,5,4,4,2,5,1,4,3,4,2,5,4,1,3,4,1,3,3,1,4,3,2,1,3,2,3,4
"344","14年","競泳 背泳ぎ","男性",3,2,3,2,2,3,2,3,3,2,2,2,"インカレ",2,2,2,2,0,5,1,3,3,1,2,4,5,3,2,4,4,1,4,1,4,3,5,4,4,3,3,3,5,4,3,3,2,2,2
"345","13年","競泳","女性",1,3,3,1,1,3,1,4,0,1,1,1,"自信をもつ",0,1,0,5,2,4,4,2,6,1,4,6,4,2,5,4,1,3,2,2,4,4,3,4,5,4,4,2,3,3,4,3,4,4,2
"346","16年","競泳","男性",4,2,4,4,4,4,4,4,0,0,0,4,"チーム全員ベスト記録更新",0,6,0,0,0,0,6,0,6,6,6,6,6,0,0,0,5,0,5,0,5,5,5,0,0,5,5,0,0,0,5,5,0,5,5
"347","０","射撃","女性",0,0,0,0,1,2,2,1,2,1,1,1,"安定したフォームを作る
",2,4,2,2,2,4,4,4,4,4,2,3,3,3,2,4,4,2,2,2,2,2,3,1,2,3,3,2,3,4,1,3,1,2,4
"348","15","テニス","男性",3,3,3,3,3,4,3,2,3,3,3,4,"怪我をせずに良いパフォーマンスをする。",1,1,2,1,1,4,4,3,2,4,2,4,2,2,4,2,4,2,4,1,3,3,2,2,2,2,2,3,2,0,1,4,1,4,3
"349","10","陸上競技長距離","男性",0,1,2,1,2,2,2,0,3,3,0,0,"箱根駅伝出走",1,4,6,6,6,3,4,5,4,4,1,0,3,0,5,2,2,3,4,3,5,3,3,4,3,5,0,3,3,0,5,3,4,4,3
"350","9年","陸上競技","男性",3,3,1,2,2,3,4,3,2,1,1,3,"箱根駅伝出走",1,1,0,0,0,2,3,2,4,5,4,5,2,2,3,3,4,1,4,1,1,4,3,2,4,4,4,4,4,1,1,3,1,1,2
"351","5","陸上競技","男性",1,1,0,1,3,3,3,1,0,0,1,1,"箱根駅伝出走",2,3,3,5,5,2,4,4,5,4,3,4,1,3,2,4,5,2,4,1,3,4,5,1,3,3,3,1,3,1,3,3,1,3,1
"352","4","テニス","男性",2,2,2,1,3,3,3,3,2,2,2,1,"自分が納得のいくプレーができるようになりたい",2,1,1,2,1,3,3,3,3,5,4,4,3,3,3,2,3,1,1,0,0,2,3,1,2,2,2,3,3,1,1,4,0,0,2
"353","15年","競泳","男性",1,1,3,1,2,3,3,1,0,3,1,2,"ワンチーム",2,2,2,2,2,2,1,2,1,4,2,4,2,2,2,3,2,2,1,1,2,2,3,3,3,3,3,2,3,2,2,3,2,2,3
"354","6年","陸上長距離","男性",1,0,2,0,2,3,3,0,3,3,2,3,"箱根駅伝の3区か8区を走り、地元の茅ヶ崎の方達に応援してもらう。",1,1,1,2,1,4,4,4,4,4,1,5,2,2,4,4,3,2,2,2,2,2,3,3,4,4,4,3,4,3,4,5,2,2,2
"355","2","体育会合気道","男性",3,2,2,2,3,2,2,1,2,2,1,2,"どんな技でもかけれるようになりたい。",3,4,4,4,3,2,6,3,4,2,3,4,2,4,3,4,5,0,1,0,0,5,3,1,4,3,4,3,3,0,0,4,0,4,4
"356","0年","合気道","女性",2,0,0,2,3,4,4,3,2,2,3,2,"常に相手の動きを利用して技をかける",1,1,0,4,4,6,6,4,2,1,1,5,0,1,2,1,4,3,4,4,3,1,3,0,4,4,4,1,0,2,0,4,3,0,4
"357","15年","レスリング","男性",1,1,3,3,0,4,2,3,0,1,0,2,"勝負の世界に身を置くことで心身共に鍛えること",1,1,0,4,1,4,3,1,1,5,5,4,2,1,5,3,3,1,4,2,3,3,4,5,3,4,4,2,2,1,3,2,0,4,4
"358","6","陸上競技部","男性",1,1,3,1,1,2,3,3,3,2,1,1,"自分の限界にチャレンジすること",2,2,2,4,2,5,1,2,1,1,2,4,3,4,1,2,3,3,2,3,3,1,3,1,4,4,4,1,2,0,1,4,0,3,2
"359","15","テニス","女性",1,0,1,1,0,0,4,4,0,0,0,0,"リーグで1部昇格すること",0,0,0,5,6,6,6,0,3,6,6,6,6,6,6,5,4,0,0,0,4,1,1,1,5,5,5,3,4,0,5,5,0,0,0
"360","15","硬式テニス","女性",1,3,4,0,1,1,1,3,3,0,1,0,"全国大会に出場すること。",1,1,0,2,2,0,4,2,2,2,1,4,1,0,0,5,3,4,2,3,3,2,1,0,3,4,5,5,2,3,0,1,0,1,3
"361","15","硬式テニス","女性",3,2,3,3,3,3,4,0,3,1,3,3,"個人戦で全国大会にいく",2,2,0,1,1,3,4,4,4,5,2,6,0,1,4,2,4,3,3,2,4,2,4,2,3,3,4,2,4,1,0,2,2,2,5
"362","10","テニス","女性",2,1,1,1,1,2,3,3,1,1,3,1,"4年間でリーグメンバーに入り、1部昇格すること",1,2,1,1,1,3,4,4,3,4,2,3,3,5,3,3,4,2,3,2,2,2,2,2,4,4,4,2,2,3,1,4,2,2,2
"363","14","硬式テニス","女性",3,3,3,3,3,4,3,3,2,3,3,3,"インカレ本戦出場",1,1,1,1,2,4,2,2,4,4,4,5,1,3,5,3,3,1,4,0,2,5,5,0,4,3,4,3,3,0,3,3,1,3,1
"364","8","テニス","女性",1,1,2,3,3,3,4,3,1,1,1,1,"インカレ出場",1,2,0,1,1,5,5,1,5,5,5,1,1,1,4,4,4,5,1,3,4,3,4,4,4,4,4,1,1,4,1,1,1,1,4
"365","12","硬式テニス","女性",1,1,1,1,2,3,1,3,0,1,1,0,"本戦に出場すること",4,2,2,2,2,4,4,2,4,4,4,4,1,2,4,2,3,3,1,2,2,2,2,3,2,3,3,2,3,2,3,2,3,2,3
"366","14","テニス","女性",1,1,0,2,2,3,1,2,2,2,1,2,"継続する",2,1,0,0,1,2,3,4,4,3,5,6,2,4,4,1,4,4,2,1,3,3,2,3,1,5,4,3,4,2,3,3,2,4,1
"367","10年","硬式テニス","女性",1,1,3,2,1,2,1,2,2,1,1,2,"自分の課題(苦手意識があるもの)に向き合うことです。",1,2,1,2,1,2,6,5,4,4,5,6,2,6,4,3,4,4,2,3,4,3,4,5,3,5,4,2,5,4,5,4,2,4,4
"368","10","陸上長距離","男性",0,0,0,0,2,3,4,0,0,0,1,0,"関東インカレ入賞",0,0,0,0,1,4,0,5,5,4,4,4,4,4,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"369","16","テニス","女性",0,0,0,0,1,3,1,0,0,1,0,0,"本戦で一勝すること。",5,6,2,4,4,2,5,2,4,2,2,4,2,2,2,2,2,3,1,1,2,2,2,3,1,1,2,2,2,3,3,2,1,4,3
"370","3","ボウリング","男性",3,1,3,1,3,3,3,3,0,1,3,3,"スコア平均190",2,2,1,1,2,2,1,2,1,4,4,4,1,4,4,3,4,1,2,2,2,2,4,1,3,3,3,3,2,2,4,3,1,1,3
"371","12年","硬式テニス","女性",2,1,1,2,1,3,3,1,3,2,1,2,"インカレ本戦出場",2,3,2,1,1,1,5,5,1,5,5,5,2,2,2,4,4,1,4,1,1,4,2,1,3,2,4,2,3,1,1,4,1,2,3
"372","九年","陸上長距離","男性",2,2,3,3,2,1,1,2,1,1,1,1,"箱根駅伝出場",3,5,2,3,4,3,2,2,4,2,3,6,3,5,6,4,3,4,1,3,3,2,3,2,2,5,3,2,2,1,3,3,4,3,3
"373","10","陸上競技","男性",1,1,3,3,3,3,3,3,1,1,2,2,"箱根駅伝予選会突破、本戦出場
ハーフマラソン62分台",0,0,0,0,0,1,4,2,4,5,6,6,5,5,6,5,5,1,5,1,1,5,4,5,5,5,5,5,5,1,1,5,1,3,4
"374","3年","テニス、バドミントン","男性",1,1,1,2,1,2,1,3,1,1,1,1,"試合をする時緊張しすぎず程よく楽しめるようにする。",2,4,2,2,1,3,4,4,5,3,2,6,2,5,6,4,2,4,2,3,1,1,4,3,2,2,4,2,2,1,1,4,1,1,1
"375","10","ゴルフ","男性",3,3,4,3,4,4,4,0,4,4,2,3,"全国大会出場",6,6,4,2,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,1,4,5,4,4,4,4,4,4,0,4,4,4,4,1
"376","1","ボディビル","男性",2,2,1,2,2,3,1,1,2,2,2,2,"自分なりの理想の体に近くこと。

",2,4,2,4,4,2,5,4,2,2,2,4,4,4,4,2,4,1,1,1,1,3,3,1,4,4,4,1,4,3,2,4,1,1,1
"377","8","陸上","男性",1,1,1,1,1,3,3,3,0,0,1,1,"箱根駅伝出場",0,0,0,0,0,0,4,0,6,6,6,6,5,6,0,3,4,3,5,3,2,2,5,5,5,5,5,4,5,1,1,5,0,1,4
"378","14","剣道","男性",3,2,2,3,3,3,3,3,3,3,3,3,"日本一",2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"379","8","陸上競技(長距離)","男性",3,3,4,3,3,3,4,3,2,3,1,3,"箱根駅伝出場",1,2,1,1,1,4,4,4,2,4,4,5,2,2,2,1,4,3,4,1,1,2,4,1,4,4,4,4,4,1,1,4,1,1,3
"380","１２","野球","男性",4,4,4,4,4,4,4,2,4,3,0,3,"自分の目標は甲子園に出場できなかった悔しさを晴らすことです。
じぶんがベストなプレーをすることができ、チームがまとまって1つの勝利を意識することができたら必ず結果はついてくると思っています。",1,4,0,2,3,3,5,2,6,4,5,6,2,1,0,1,4,2,5,1,2,5,5,4,4,5,1,2,5,0,3,5,0,3,3
"381","2ヶ月","合気道","女性",3,0,1,0,3,3,1,4,0,0,3,3,"健康でいること",2,5,4,4,4,2,6,2,4,1,2,1,1,2,1,1,4,3,5,2,5,1,5,0,4,4,5,3,5,4,0,5,0,0,1
"382","4年","陸上","男性",0,0,2,0,2,2,2,2,0,0,0,0,"箱根駅伝出場",0,2,0,0,0,0,3,2,2,3,3,3,5,3,3,3,0,4,0,2,1,0,3,1,3,5,5,2,2,4,0,4,2,0,1
"383","9年","陸上競技","男性",0,0,0,0,0,4,2,0,0,0,0,0,"自分の限界に挑戦",0,6,0,5,5,6,6,6,6,3,0,6,3,0,0,3,5,0,4,3,4,4,5,2,4,5,5,5,5,0,3,5,0,0,0
"384","6","陸上競技","男性",0,0,0,2,2,3,1,1,1,1,2,1,"マネージャー標準のタイムを切る",4,2,0,3,2,4,4,4,3,3,4,6,4,2,5,4,3,2,1,2,2,3,3,3,4,4,5,3,3,2,2,4,2,3,3
"385","5年","女子サーブル","女性",1,0,4,1,3,4,3,4,0,3,0,1,"団体戦で全日本出場権獲得。",0,0,0,0,0,6,6,0,6,6,6,4,6,6,6,3,5,1,3,1,1,5,5,5,5,3,5,5,5,5,5,5,0,3,5
"# 必要なパッケージを読み込む","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"> library(dplyr)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"> > # データを読み込む","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"> data <- read.csv(data.csv"," stringsAsFactors = FALSE)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
