"X","years","sport","sex","ss01","ss02","ss03","ss04","ss05","ss06","ss07","ss08","ss09","ss10","ss11","ss12","ppfi_j00","ppfi_j01","ppfi_j02","ppfi_j03","ppfi_j04","ppfi_j05","ppfi_j06","ppfi_j07","ppfi_j08","ppfi_j09","ppfi_j10","ppfi_j11","ppfi_j12","ppfi_j13","ppfi_j14","ppfi_j15","panas01","panas02","panas03","panas04","panas05","panas06","panas07","panas08","panas09","panas10","panas11","panas12","panas13","panas14","panas15","panas16","panas17","panas18","panas19","panas20"
"81","10","ソフトテニス","男性",1,1,1,2,2,3,3,1,0,2,3,2,"楽しくやる",1,3,1,0,1,4,5,4,4,5,2,4,1,0,4,0,3,0,1,1,1,5,5,3,4,4,4,2,5,1,4,3,0,5,3
"82","10年","硬式野球","男性",1,1,1,2,2,3,3,0,1,1,3,0,"コツコツと結果を残すこと。",3,2,2,2,3,3,2,5,3,3,3,5,3,2,4,3,4,1,2,1,2,4,3,2,3,2,3,1,2,1,3,3,1,2,1
"84","８年","陸上競技（短距離）","男性",2,1,4,2,3,3,3,2,2,1,3,1,"全日本インカレ出場",3,4,2,2,2,3,4,4,4,2,2,4,2,4,2,3,2,2,2,2,2,2,3,3,4,2,4,3,3,1,1,3,1,4,2
"85","11年","サッカー","女性",2,1,2,2,3,3,3,4,2,2,3,2,"どんな試合でも勝ち切ること
攻守の切り替え（攻撃→守備）
",2,3,3,3,4,3,2,3,3,4,4,3,4,3,3,2,2,2,2,2,2,3,2,4,3,2,3,2,2,2,3,3,2,2,2
"86","13","野球","男性",2,2,3,3,3,3,3,3,3,2,3,3,"技術メンタル向上",2,3,2,2,3,3,3,3,3,2,4,3,3,4,4,3,4,2,3,2,2,2,3,2,3,3,3,3,2,2,2,3,2,2,3
"87","11年","陸上競技","男性",2,2,2,2,3,3,4,2,2,2,2,1,"自己ベストの更新",2,2,3,4,4,4,4,2,4,3,4,4,4,2,4,3,2,3,3,2,3,2,3,3,3,2,3,2,3,2,3,3,2,3,3
"88","10","バスケットボール","男性",3,3,3,3,3,3,3,3,3,3,3,3,"シューターとして勝利に導く",1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,1,4,1,4,1,1,4,4,1,4,1,4,4,4,1,1,4,1,3,3
"89","１１年","野球","男性",2,2,2,3,3,3,3,3,2,2,3,3,"試合に勝つことが一番の目標",4,2,4,2,3,2,4,2,2,4,4,4,2,2,2,3,3,2,2,2,2,3,3,3,2,2,3,2,3,3,3,3,2,3,3
"90","15年","サッカー","男性",3,3,2,4,3,3,3,2,2,2,2,3,"プロサッカー選手として地元コンサドーレで活躍する。",3,1,0,2,2,2,3,4,3,3,4,3,5,0,0,2,4,2,4,2,3,3,2,2,2,4,4,4,3,1,2,2,2,2,4
"91","２","フットサル","男性",2,2,3,3,2,3,3,1,2,2,3,2,"勝つ",3,2,2,2,2,3,4,4,4,4,4,3,3,3,3,3,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,2,2,3
